"","UF","ano","rend","name"
"631","MA","1999/00","0","algodao"
"632","MT","1999/00","268.39999999999998","algodao"
"633","MS","1999/00","46.700000000000003","algodao"
"634","MG","1999/00","48.200000000000003","algodao"
"635","PA","1999/00","0.80000000000000004","algodao"
"636","PB","1999/00","24.199999999999999","algodao"
"637","PR","1999/00","53.399999999999999","algodao"
"638","PE","1999/00","11.800000000000001","algodao"
"639","PI","1999/00","13.800000000000001","algodao"
"640","RJ","1999/00","0","algodao"
"641","RN","1999/00","23.699999999999999","algodao"
"642","RS","1999/00","0","algodao"
"643","RO","1999/00","0.5","algodao"
"644","RR","1999/00","0","algodao"
"645","SC","1999/00","0","algodao"
"646","SP","1999/00","65.700000000000003","algodao"
"647","SE","1999/00","1.3","algodao"
"648","TO","1999/00","0","algodao"
"649","AC","2000/01","0","algodao"
"650","AL","2000/01","21","algodao"
"651","AP","2000/01","0","algodao"
"652","AM","2000/01","0","algodao"
"653","BA","2000/01","55","algodao"
"654","CE","2000/01","29.399999999999999","algodao"
"655","DF","2000/01","1.5","algodao"
"656","ES","2000/01","0","algodao"
"657","GO","2000/01","97.599999999999994","algodao"
"658","MA","2000/01","2.3999999999999999","algodao"
"659","MT","2000/01","392","algodao"
"660","MS","2000/01","50.399999999999999","algodao"
"661","MG","2000/01","38.600000000000001","algodao"
"662","PA","2000/01","0","algodao"
"663","PB","2000/01","8.4000000000000004","algodao"
"664","PR","2000/01","68.400000000000006","algodao"
"665","PE","2000/01","7.2999999999999998","algodao"
"666","PI","2000/01","8.0999999999999996","algodao"
"667","RJ","2000/01","0","algodao"
"668","RN","2000/01","19.699999999999999","algodao"
"669","RS","2000/01","0","algodao"
"670","RO","2000/01","2.6000000000000001","algodao"
"671","RR","2000/01","0","algodao"
"672","SC","2000/01","0","algodao"
"673","SP","2000/01","65.700000000000003","algodao"
"674","SE","2000/01","0.29999999999999999","algodao"
"675","TO","2000/01","0","algodao"
"676","AC","2001/02","0","algodao"
"677","AL","2001/02","17","algodao"
"678","AP","2001/02","0","algodao"
"679","AM","2001/02","0","algodao"
"680","BA","2001/02","70.200000000000003","algodao"
"681","CE","2001/02","20.300000000000001","algodao"
"682","DF","2001/02","1.6000000000000001","algodao"
"683","ES","2001/02","0","algodao"
"684","GO","2001/02","91.700000000000003","algodao"
"685","MA","2001/02","3.1000000000000001","algodao"
"686","MT","2001/02","312.80000000000001","algodao"
"687","MS","2001/02","45.399999999999999","algodao"
"688","MG","2001/02","37.799999999999997","algodao"
"689","PA","2001/02","0","algodao"
"690","PB","2001/02","10.199999999999999","algodao"
"691","PR","2001/02","37.600000000000001","algodao"
"692","PE","2001/02","8","algodao"
"693","PI","2001/02","8.9000000000000004","algodao"
"694","RJ","2001/02","0","algodao"
"695","RN","2001/02","19.699999999999999","algodao"
"696","RS","2001/02","0","algodao"
